adidas	(named-entity :lex "Adidas" :penn-pos (NNP) :lftype (ONT::block))
b1	(named-entity :lex "B1" :penn-pos (NNP) :lftype (ONT::block))
b10	(named-entity :lex "B10" :penn-pos (NNP) :lftype (ONT::block))
b11	(named-entity :lex "B11" :penn-pos (NNP) :lftype (ONT::block))
b12	(named-entity :lex "B12" :penn-pos (NNP) :lftype (ONT::block))
b2	(named-entity :lex "B2" :penn-pos (NNP) :lftype (ONT::block))
b3	(named-entity :lex "B3" :penn-pos (NNP) :lftype (ONT::block))
b4	(named-entity :lex "B4" :penn-pos (NNP) :lftype (ONT::block))
b5	(named-entity :lex "B5" :penn-pos (NNP) :lftype (ONT::block))
b6	(named-entity :lex "B6" :penn-pos (NNP) :lftype (ONT::block))
b7	(named-entity :lex "B7" :penn-pos (NNP) :lftype (ONT::block))
b8	(named-entity :lex "B8" :penn-pos (NNP) :lftype (ONT::block))
b9	(named-entity :lex "B9" :penn-pos (NNP) :lftype (ONT::block))
bmw	(named-entity :lex "BMW" :penn-pos (NNP) :lftype (ONT::block))
burger king	(named-entity :lex "Burger King" :penn-pos (NNP) :lftype (ONT::block))
coca cola	(named-entity :lex "Coca Cola" :penn-pos (NNP) :lftype (ONT::block))
cocacola	(named-entity :lex "Coca-Cola" :penn-pos (NNP) :lftype (ONT::block))
coke	(named-entity :lex "Coke" :penn-pos (NNP) :lftype (ONT::block))
esso	(named-entity :lex "Esso" :penn-pos (NNP) :lftype (ONT::block))
heineken	(named-entity :lex "Heineken" :penn-pos (NNP) :lftype (ONT::block))
hp	(named-entity :lex "HP" :penn-pos (NNP) :lftype (ONT::block))
mcdonald's	(named-entity :lex "McDonald's" :penn-pos (NNP) :lftype (ONT::block))
mcdonalds	(named-entity :lex "McDonalds" :penn-pos (NNP) :lftype (ONT::block))
mercedes	(named-entity :lex "Mercedes" :penn-pos (NNP) :lftype (ONT::block))
mercedesbenz	(named-entity :lex "Mercedes-Benz" :penn-pos (NNP) :lftype (ONT::block))
nvidia	(named-entity :lex "Nvidia" :penn-pos (NNP) :lftype (ONT::block))
pepsi	(named-entity :lex "Pepsi" :penn-pos (NNP) :lftype (ONT::block))
shell	(named-entity :lex "Shell" :penn-pos (NNP) :lftype (ONT::block))
sri	(named-entity :lex "SRI" :penn-pos (NNP) :lftype (ONT::block))
starbucks	(named-entity :lex "Starbucks" :penn-pos (NNP) :lftype (ONT::block))
stella artois	(named-entity :lex "Stella Artois" :penn-pos (NNP) :lftype (ONT::block))
target	(named-entity :lex "Target" :penn-pos (NNP) :lftype (ONT::block))
texaco	(named-entity :lex "Texaco" :penn-pos (NNP) :lftype (ONT::block))
toyota	(named-entity :lex "Toyota" :penn-pos (NNP) :lftype (ONT::block))
twitter	(named-entity :lex "Twitter" :penn-pos (NNP) :lftype (ONT::block))
ups	(named-entity :lex "UPS" :penn-pos (NNP) :lftype (ONT::block))
